finding_id	kind	standing_evidence	standing_derived	evidence_cite	derived_cite	rows	remedy
g357	Gap	received	n/a	prd§20.7	-	f635	backlog gains a note
g358	Gap	received	n/a	prd§20.7	-	f636	backlog gains a note
g359	Gap	received	n/a	prd§22	-	f642	backlog gains a note
g360	Gap	received	n/a	prd§22	-	f643	backlog gains a note
g361	Gap	received	n/a	prd§25	-	f655	backlog gains a note
g362	Gap	received	n/a	prd§25	-	f656	backlog gains a note
g363	Gap	received	n/a	prd§27	-	f664	backlog gains a note
g364	Gap	received	n/a	prd§27	-	f665	backlog gains a note
g365	Gap	received	n/a	prd§28	-	f668	backlog gains a note
g366	Gap	received	n/a	prd§28	-	f669	backlog gains a note
g367	Gap	received	n/a	prd§28	-	f671	backlog gains a note
g368	Gap	received	n/a	prd§28	-	f672	backlog gains a note
g369	Gap	received	n/a	prd§29	-	f674	backlog gains a note
g370	Gap	received	n/a	prd§29	-	f675	backlog gains a note
g371	Gap	received	n/a	prd§29	-	f677	backlog gains a note
g372	Gap	received	n/a	prd§29	-	f678	backlog gains a note
g373	Gap	received	n/a	prd§31	-	f685	backlog gains a note
g374	Gap	received	n/a	prd§32	-	f688	backlog gains a note
g375	Gap	received	n/a	prd§33	-	f693	backlog gains a note
g376	Gap	received	n/a	prd§33	-	f701	backlog gains a note
g377	Gap	received	n/a	prd§33	-	f702	backlog gains a note
g378	Gap	received	n/a	prd§33	-	f703	backlog gains a note
g379	Gap	received	n/a	prd§33	-	f704	backlog gains a note
g380	Gap	received	n/a	prd§34	-	f707	backlog gains a note
g381	Gap	received	n/a	prd§34	-	f708	backlog gains a note
g382	Gap	received	n/a	prd§34	-	f709	backlog gains a note
g383	Gap	received	n/a	prd§34	-	f710	backlog gains a note
g384	Gap	received	n/a	prd§34	-	f711	backlog gains a note
g385	Gap	received	n/a	prd§34	-	f713	backlog gains a note
g386	Gap	received	n/a	prd§34	-	f714	backlog gains a note
g387	Gap	received	n/a	prd§34	-	f715	backlog gains a note
g388	Gap	received	n/a	prd§34	-	f716	backlog gains a note
g389	Gap	received	n/a	prd§34	-	f719	backlog gains a note
g390	Gap	received	n/a	prd§35	-	f720	backlog gains a note
g391	Gap	received	n/a	prd§35	-	f723	backlog gains a note
g392	Gap	received	n/a	prd§35	-	f725	backlog gains a note
g393	Gap	received	n/a	prd§36	-	f729	backlog gains a note
g394	Gap	received	n/a	prd§36	-	f731	backlog gains a note
g395	Gap	received	n/a	prd§36	-	f732	backlog gains a note
g396	Gap	received	n/a	prd§36	-	f733	backlog gains a note
g397	Gap	received	n/a	prd§36	-	f734	backlog gains a note
g398	Gap	received	n/a	prd§36	-	f739	backlog gains a note
g399	Gap	received	n/a	prd§38	-	f741	backlog gains a note
g400	Gap	received	n/a	prd§38	-	f746	backlog gains a note
g401	Gap	received	n/a	prd§38	-	f747	backlog gains a note
g402	Gap	received	n/a	prd§38	-	f748	backlog gains a note
g403	Gap	received	n/a	prd§38	-	f751	backlog gains a note
g404	Gap	undetermined	n/a	prototype§2	-	f761a	none
g405	Gap	undetermined	n/a	prototype§2	-	f761b	none
g406	Gap	undetermined	n/a	prototype§2	-	f762a	none
g407	Gap	undetermined	n/a	prototype§2	-	f762b	none
g408	Gap	undetermined	n/a	prototype§2	-	f763b	none
g409	Gap	undetermined	n/a	prototype§2	-	f764a	none
g410	Gap	undetermined	n/a	prototype§2	-	f765a	none
g411	Gap	undetermined	n/a	prototype§2	-	f765b	none
g412	Gap	undetermined	n/a	prototype§2	-	f766a	none
g413	Gap	undetermined	n/a	prototype§2	-	f766b	none
g414	Gap	undetermined	n/a	prototype§2	-	f767a	none
g415	Gap	undetermined	n/a	prototype§2	-	f767b	none
g416	Gap	undetermined	n/a	prototype§2	-	f768a	none
g417	Gap	undetermined	n/a	prototype§2	-	f768b	none
g418	Gap	undetermined	n/a	prototype§4	-	f769a	none
g419	Gap	undetermined	n/a	prototype§4	-	f769b	none
g420	Gap	undetermined	n/a	prototype§4	-	f770a	none
g421	Gap	undetermined	n/a	prototype§4	-	f770b	none
g422	Gap	undetermined	n/a	prototype§4	-	f771a	none
g423	Gap	undetermined	n/a	prototype§4	-	f771b	none
g424	Gap	undetermined	n/a	prototype§4	-	f772a	none
g427	Gap	undetermined	n/a	prototype§4	-	f774a	none
g428	Gap	undetermined	n/a	prototype§4	-	f774b	none
g429	Gap	undetermined	n/a	prototype§6	-	f775	none
g430	Gap	undetermined	n/a	prototype§7	-	f776	none
g431	Gap	undetermined	n/a	prototype§7	-	f777	none
g432	Gap	undetermined	n/a	prototype§7	-	f778	none
g433	Gap	undetermined	n/a	prototype§7	-	f779	none
g434	Gap	undetermined	n/a	prototype§8	-	f780	none
g435	Gap	undetermined	n/a	prototype§8	-	f781	none
g436	Gap	undetermined	n/a	prototype§8	-	f782	none
g437	Gap	undetermined	n/a	prototype§8	-	f783	none
g438	Gap	undetermined	n/a	prototype§8	-	f784	none
g439	Gap	undetermined	n/a	prototype§8	-	f785	none
g440	Gap	undetermined	n/a	prototype§8	-	f786	none
g441	Gap	undetermined	n/a	prototype§8	-	f787	none
g442	Gap	undetermined	n/a	prototype§8	-	f790	none
g443	Gap	undetermined	n/a	prototype§8	-	f791	none
g444	Gap	undetermined	n/a	prototype§8	-	f792	none
g445	Gap	undetermined	n/a	prototype§8	-	f794	none
g446	Gap	undetermined	n/a	prototype§8	-	f795	none
g447	Gap	undetermined	n/a	prototype§8	-	f796	none
g448	Gap	undetermined	n/a	prototype§8	-	f797	none
g449	Gap	undetermined	n/a	prototype§9	-	f798a	none
g450	Gap	undetermined	n/a	prototype§9	-	f798b	none
g451	Gap	undetermined	n/a	prototype§9	-	f799a	none
g452	Gap	undetermined	n/a	prototype§9	-	f799b	none
g453	Gap	undetermined	n/a	prototype§9	-	f800a	none
g454	Gap	undetermined	n/a	prototype§9	-	f800b	none
g455	Gap	undetermined	n/a	prototype§9	-	f801a	none
g456	Gap	undetermined	n/a	prototype§9	-	f801b	none
g457	Gap	undetermined	n/a	prototype§9	-	f802a	none
g458	Gap	undetermined	n/a	prototype§9	-	f802b	none
g459	Gap	undetermined	n/a	prototype§9	-	f803a	none
g460	Gap	undetermined	n/a	prototype§9	-	f803b	none
g461	Gap	undetermined	n/a	prototype§9	-	f804a	none
g462	Gap	undetermined	n/a	prototype§9	-	f804b	none
g463	Gap	undetermined	n/a	prototype§11	-	f805a	none
g464	Gap	undetermined	n/a	prototype§11	-	f805b	none
g465	Gap	undetermined	n/a	prototype§11	-	f806a	none
g466	Gap	undetermined	n/a	prototype§11	-	f806b	none
g467	Gap	undetermined	n/a	prototype§11	-	f807a	none
g468	Gap	undetermined	n/a	prototype§11	-	f807b	none
g469	Gap	undetermined	n/a	prototype§13	-	f808	none
g470	Gap	undetermined	n/a	prototype§7	-	f817	none
g471	Gap	undetermined	n/a	prototype§7	-	f824	none
g472	Gap	undetermined	n/a	prototype§8	-	f828	none
g473	Gap	undetermined	n/a	prototype§8	-	f831	none
g474	Gap	undetermined	n/a	prototype§9	-	f837	none
g475	Gap	undetermined	n/a	prototype§9	-	f839	none
g476	Gap	undetermined	n/a	prototype§9	-	f842	none
g477	Gap	undetermined	n/a	prototype§9	-	f846	none
g478	Gap	undetermined	n/a	prototype§9	-	f850	none
g479	Gap	undetermined	n/a	prototype§9	-	f851	none
g480	Gap	undetermined	n/a	prototype§9	-	f852	none
g481	Gap	undetermined	n/a	prototype§9	-	f853	none
g482	Gap	undetermined	n/a	prototype§9	-	f854	none
g483	Gap	undetermined	n/a	prototype§12	-	f862	none
g484	Gap	undetermined	n/a	prototype§12	-	f865	none
g485	Gap	undetermined	n/a	prototype§14	-	f875	none
g486	Gap	undetermined	n/a	prototype§15	-	f882	none
g487	Gap	undetermined	n/a	prototype§15	-	f883	none
g488	Gap	undetermined	n/a	prototype§15	-	f884	none
g489	Gap	undetermined	n/a	prototype§15	-	f891	none
g490	Gap	undetermined	n/a	prototype§3	-	f896	none
g491	Gap	undetermined	n/a	prototype§3	-	f900	none
g492	Gap	undetermined	n/a	prototype§3	-	f901	none
g493	Gap	undetermined	n/a	prototype§3	-	f906	none
g494	Gap	undetermined	n/a	prototype§13	-	f907	none
g495	Gap	undetermined	n/a	prototype§13	-	f909	none
g496	Gap	undetermined	n/a	prototype§13	-	f910	none
g497	Gap	undetermined	n/a	prototype§13	-	f912	none
g498	Gap	undetermined	n/a	research§4.1	-	f914	none
g499	Gap	undetermined	n/a	research§4.2	-	f915	none
g500	Gap	undetermined	n/a	research§4.3	-	f916	none
g501	Gap	undetermined	n/a	research§4.4	-	f917	none
g502	Gap	undetermined	n/a	research§4.5	-	f918	none
g503	Gap	undetermined	n/a	research§6	-	f919a	none
g504	Gap	undetermined	n/a	research§6	-	f920	none
g505	Gap	undetermined	n/a	research§7	-	f921	none
g506	Gap	undetermined	n/a	research§7	-	f922	none
g507	Gap	undetermined	n/a	research§7	-	f923	none
g508	Gap	undetermined	n/a	research§25	-	f924	none
g509	Gap	undetermined	n/a	research§25	-	f925	none
g510	Gap	undetermined	n/a	research§9	-	f926	none
g511	Gap	undetermined	n/a	research§24	-	f927	none
g512	Gap	undetermined	n/a	research§24	-	f928	none
g513	Gap	undetermined	n/a	research§24	-	f929	none
g514	Gap	undetermined	n/a	research§24	-	f930	none
g515	Gap	undetermined	n/a	research§24	-	f931	none
g516	Gap	undetermined	n/a	research§24	-	f932	none
g517	Gap	undetermined	n/a	research§24	-	f933	none
g518	Gap	undetermined	n/a	research§24	-	f934	none
g519	Gap	undetermined	n/a	research§24	-	f935	none
g520	Gap	undetermined	n/a	research§30	-	f936	none
g521	Gap	undetermined	n/a	research§30	-	f937	none
g522	Gap	undetermined	n/a	research§30	-	f938	none
g523	Gap	undetermined	n/a	research§30	-	f939	none
g524	Gap	undetermined	n/a	research§30	-	f940	none
g525	Gap	undetermined	n/a	research§30	-	f941	none
g526	Gap	undetermined	n/a	research§30	-	f942	none
g527	Gap	undetermined	n/a	research§30	-	f943	none
g528	Gap	undetermined	n/a	research§30	-	f944	none
g529	Gap	undetermined	n/a	research§30	-	f945	none
g530	Gap	undetermined	n/a	research§30	-	f946	none
g531	Gap	undetermined	n/a	research§30	-	f947	none
g532	Gap	undetermined	n/a	research§30	-	f948	none
g533	Gap	undetermined	n/a	research§30	-	f949	none
g534	Gap	undetermined	n/a	research§30	-	f950	none
g535	Gap	undetermined	n/a	research§30	-	f951	none
g536	Gap	undetermined	n/a	research§30	-	f952	none
g537	Gap	undetermined	n/a	research§30	-	f953	none
g538	Gap	undetermined	n/a	research§30	-	f954	none
g539	Gap	undetermined	n/a	research§30	-	f955	none
g540	Gap	undetermined	n/a	research§31	-	f956	none
g541	Gap	undetermined	n/a	research§31	-	f957	none
g542	Gap	undetermined	n/a	research§31	-	f958	none
g543	Gap	undetermined	n/a	research§31	-	f959	none
g544	Gap	undetermined	n/a	research§31	-	f960	none
g545	Gap	undetermined	n/a	research§31	-	f961	none
g546	Gap	undetermined	n/a	research§31	-	f962	none
g547	Gap	undetermined	n/a	research§31	-	f963	none
g548	Gap	undetermined	n/a	research§8	-	f971	none
g549	Gap	undetermined	n/a	research§12	-	f981	none
g550	Gap	undetermined	n/a	research§15	-	f989	none
g551	Gap	undetermined	n/a	research§17	-	f993	none
g552	Gap	undetermined	n/a	research§23	-	f1001	none
g553	Gap	undetermined	n/a	research§31	-	f1003	none
g554	Gap	undetermined	n/a	uxd§5	-	f1010	none
g555	Gap	undetermined	n/a	uxd§5	-	f1011	none
g556	Gap	undetermined	n/a	uxd§5	-	f1012	none
g557	Gap	undetermined	n/a	uxd§7	-	f1013	none
g558	Gap	undetermined	n/a	uxd§7	-	f1014	none
g559	Gap	undetermined	n/a	uxd§6	-	f1015	none
g560	Gap	undetermined	n/a	uxd§6	-	f1017	none
g561	Gap	undetermined	n/a	uxd§6	-	f1019a	none
g563	Gap	undetermined	n/a	uxd§28	-	f1020a	none
g564	Gap	undetermined	n/a	uxd§28	-	f1020b	none
g565	Gap	undetermined	n/a	uxd§28	-	f1021a	none
g566	Gap	undetermined	n/a	uxd§28	-	f1021b	none
g567	Gap	undetermined	n/a	uxd§28	-	f1022a	none
g568	Gap	undetermined	n/a	uxd§28	-	f1022b	none
g569	Gap	undetermined	n/a	uxd§28	-	f1023a	none
g571	Gap	undetermined	n/a	uxd§28	-	f1024a	none
g572	Gap	undetermined	n/a	uxd§28	-	f1024b	none
g573	Gap	undetermined	n/a	uxd§28	-	f1025a	none
g574	Gap	undetermined	n/a	uxd§28	-	f1025b	none
g575	Gap	undetermined	n/a	uxd§28	-	f1026a	none
g576	Gap	undetermined	n/a	uxd§28	-	f1026b	none
g577	Gap	undetermined	n/a	uxd§28	-	f1027a	none
g578	Gap	undetermined	n/a	uxd§28	-	f1027b	none
g579	Gap	undetermined	n/a	uxd§28	-	f1028a	none
g580	Gap	undetermined	n/a	uxd§28	-	f1028b	none
g581	Gap	undetermined	n/a	uxd§28	-	f1029b	none
g582	Gap	undetermined	n/a	uxd§28	-	f1030a	none
g583	Gap	undetermined	n/a	uxd§28	-	f1030b	none
g584	Gap	undetermined	n/a	uxd§28	-	f1031a	none
g585	Gap	undetermined	n/a	uxd§28	-	f1031b	none
g586	Gap	undetermined	n/a	uxd§28	-	f1032a	none
g587	Gap	undetermined	n/a	uxd§28	-	f1032b	none
g588	Gap	undetermined	n/a	uxd§28	-	f1033b	none
g589	Gap	undetermined	n/a	uxd§9	-	f1034a	none
g590	Gap	undetermined	n/a	uxd§9	-	f1034b	none
g591	Gap	undetermined	n/a	uxd§9	-	f1035	none
g592	Gap	undetermined	n/a	uxd§9	-	f1036	none
g593	Gap	undetermined	n/a	uxd§11	-	f1037	none
g594	Gap	undetermined	n/a	uxd§11	-	f1038	none
g595	Gap	undetermined	n/a	uxd§13	-	f1039a	none
g596	Gap	undetermined	n/a	uxd§13	-	f1039b	none
g597	Gap	undetermined	n/a	uxd§22	-	f1040	none
g598	Gap	undetermined	n/a	uxd§22	-	f1043	none
g599	Gap	undetermined	n/a	uxd§22	-	f1044	none
g600	Gap	undetermined	n/a	uxd§21	-	f1046a	none
g601	Gap	undetermined	n/a	uxd§21	-	f1046b	none
g602	Gap	undetermined	n/a	uxd§21	-	f1047a	none
g603	Gap	undetermined	n/a	uxd§21	-	f1047b	none
g604	Gap	undetermined	n/a	uxd§16	-	f1048	none
g605	Gap	undetermined	n/a	uxd§32	-	f1049	none
g606	Gap	undetermined	n/a	uxd§32	-	f1050	none
g607	Gap	undetermined	n/a	uxd§2	-	f1051	none
g608	Gap	undetermined	n/a	uxd§2	-	f1052	none
g609	Gap	undetermined	n/a	uxd§2	-	f1053	none
g610	Gap	undetermined	n/a	uxd§2	-	f1055	none
g611	Gap	undetermined	n/a	uxd§2	-	f1056	none
g612	Gap	undetermined	n/a	uxd§3	-	f1059	none
g613	Gap	undetermined	n/a	uxd§3	-	f1063	none
g614	Gap	undetermined	n/a	uxd§3	-	f1064	none
g615	Gap	undetermined	n/a	uxd§3	-	f1065	none
g616	Gap	undetermined	n/a	uxd§5	-	f1068	none
g617	Gap	undetermined	n/a	uxd§7	-	f1070	none
g618	Gap	undetermined	n/a	uxd§7	-	f1071	none
g619	Gap	undetermined	n/a	uxd§8	-	f1072	none
g620	Gap	undetermined	n/a	uxd§9	-	f1075	none
g621	Gap	undetermined	n/a	uxd§9	-	f1076	none
g622	Gap	undetermined	n/a	uxd§9	-	f1077	none
g623	Gap	undetermined	n/a	uxd§9	-	f1078	none
g624	Gap	undetermined	n/a	uxd§9	-	f1079	none
g625	Gap	undetermined	n/a	uxd§9	-	f1080	none
g626	Gap	undetermined	n/a	uxd§10	-	f1081	none
g627	Gap	undetermined	n/a	uxd§10	-	f1082	none
g628	Gap	undetermined	n/a	uxd§10	-	f1084	none
g629	Gap	undetermined	n/a	uxd§10	-	f1085	none
g630	Gap	undetermined	n/a	uxd§10	-	f1086	none
g631	Gap	undetermined	n/a	uxd§11	-	f1087	none
g632	Gap	undetermined	n/a	uxd§11	-	f1088	none
g633	Gap	undetermined	n/a	uxd§12	-	f1089	none
g634	Gap	undetermined	n/a	uxd§13	-	f1090	none
g635	Gap	undetermined	n/a	uxd§13	-	f1091	none
g636	Gap	undetermined	n/a	uxd§13	-	f1092	none
g637	Gap	undetermined	n/a	uxd§14	-	f1094	none
g638	Gap	undetermined	n/a	uxd§14	-	f1095	none
g639	Gap	undetermined	n/a	uxd§15	-	f1096	none
g640	Gap	undetermined	n/a	uxd§18	-	f1104	none
g641	Gap	undetermined	n/a	uxd§19	-	f1105	none
g642	Gap	undetermined	n/a	uxd§19	-	f1106	none
g643	Gap	undetermined	n/a	uxd§21	-	f1111	none
g644	Gap	undetermined	n/a	uxd§21	-	f1112	none
g645	Gap	undetermined	n/a	uxd§21	-	f1113	none
g646	Gap	undetermined	n/a	uxd§24	-	f1117	none
g647	Gap	undetermined	n/a	uxd§24	-	f1120	none
g648	Gap	undetermined	n/a	uxd§26	-	f1123	none
g649	Gap	undetermined	n/a	uxd§26	-	f1124	none
g650	Gap	undetermined	n/a	uxd§26	-	f1125	none
g651	Gap	undetermined	n/a	uxd§26	-	f1126	none
g652	Gap	undetermined	n/a	uxd§26	-	f1127	none
g653	Gap	undetermined	n/a	uxd§26	-	f1128	none
g654	Gap	undetermined	n/a	uxd§27	-	f1129	none
g655	Gap	undetermined	n/a	uxd§27	-	f1131	none
g656	Gap	undetermined	n/a	uxd§27	-	f1133	none
g657	Gap	undetermined	n/a	uxd§27	-	f1134	none
g658	Gap	undetermined	n/a	uxd§29	-	f1143	none
g659	Gap	undetermined	n/a	uxd§29	-	f1144	none
g660	Gap	undetermined	n/a	uxd§29	-	f1146	none
g661	Gap	undetermined	n/a	uxd§29	-	f1147	none
g662	Gap	undetermined	n/a	uxd§30	-	f1150	none
g663	Gap	undetermined	n/a	uxd§34	-	f1153	none
g664	Gap	undetermined	n/a	wireframes§A.2	-	f1154	none
g665	Gap	undetermined	n/a	wireframes§A.2	-	f1155a	none
g666	Gap	undetermined	n/a	wireframes§A.2	-	f1155b	none
g667	Gap	undetermined	n/a	wireframes§A.2	-	f1156a	none
g668	Gap	undetermined	n/a	wireframes§A.2	-	f1156b	none
g669	Gap	undetermined	n/a	wireframes§A.2	-	f1157a	none
g671	Gap	undetermined	n/a	wireframes§A.2	-	f1158a	none
g674	Gap	undetermined	n/a	wireframes§A.2	-	f1160a	none
g675	Gap	undetermined	n/a	wireframes§A.2	-	f1160b	none
g676	Gap	undetermined	n/a	wireframes§A.1	-	f1161a	none
g677	Gap	undetermined	n/a	wireframes§A.1	-	f1161b	none
g678	Gap	undetermined	n/a	wireframes§A.3	-	f1162a	none
g679	Gap	undetermined	n/a	wireframes§A.3	-	f1162b	none
g680	Gap	undetermined	n/a	wireframes§A.3	-	f1163b	none
g681	Gap	undetermined	n/a	wireframes§A.4	-	f1164a	none
g682	Gap	undetermined	n/a	wireframes§A.4	-	f1164b	none
g683	Gap	undetermined	n/a	wireframes§A.4	-	f1165a	none
g684	Gap	undetermined	n/a	wireframes§A.4	-	f1165b	none
g685	Gap	undetermined	n/a	wireframes§A.4	-	f1166a	none
g686	Gap	undetermined	n/a	wireframes§A.4	-	f1166b	none
g687	Gap	undetermined	n/a	wireframes§A.4	-	f1167	none
g688	Gap	undetermined	n/a	wireframes§A.5	-	f1168a	none
g689	Gap	undetermined	n/a	wireframes§A.5	-	f1168b	none
g690	Gap	undetermined	n/a	wireframes§A.5	-	f1169a	none
g691	Gap	undetermined	n/a	wireframes§A.5	-	f1169b	none
g692	Gap	undetermined	n/a	wireframes§A.6	-	f1170a	none
g693	Gap	undetermined	n/a	wireframes§A.6	-	f1170b	none
g694	Gap	undetermined	n/a	wireframes§A.7	-	f1171a	none
g695	Gap	undetermined	n/a	wireframes§A.7	-	f1171b	none
g696	Gap	undetermined	n/a	wireframes§A.7	-	f1172	none
g697	Gap	undetermined	n/a	wireframes§A.7	-	f1173	none
g698	Gap	undetermined	n/a	wireframes§A.7	-	f1174	none
g699	Gap	undetermined	n/a	wireframes§A.8	-	f1175a	none
g700	Gap	undetermined	n/a	wireframes§A.8	-	f1175b	none
g701	Gap	undetermined	n/a	wireframes§A.9	-	f1176a	none
g702	Gap	undetermined	n/a	wireframes§A.9	-	f1176b	none
g703	Gap	undetermined	n/a	wireframes§A.10	-	f1177a	none
g705	Gap	undetermined	n/a	wireframes§A.10	-	f1178	none
g706	Gap	undetermined	n/a	wireframes§A.10	-	f1179	none
g707	Gap	undetermined	n/a	wireframes§A.11	-	f1180a	none
g708	Gap	undetermined	n/a	wireframes§A.11	-	f1180b	none
g709	Gap	undetermined	n/a	wireframes§A.12	-	f1181a	none
g710	Gap	undetermined	n/a	wireframes§A.12	-	f1181b	none
g711	Gap	undetermined	n/a	wireframes§A.13	-	f1182a	none
g712	Gap	undetermined	n/a	wireframes§A.13	-	f1182b	none
g713	Gap	undetermined	n/a	wireframes§A.13	-	f1183	none
g714	Gap	undetermined	n/a	wireframes§A.13	-	f1184a	none
g715	Gap	undetermined	n/a	wireframes§A.13	-	f1184b	none
g716	Gap	undetermined	n/a	wireframes§A.13	-	f1185a	none
g717	Gap	undetermined	n/a	wireframes§A.13	-	f1185b	none
g718	Gap	undetermined	n/a	wireframes§A.13	-	f1186a	none
g719	Gap	undetermined	n/a	wireframes§A.13	-	f1186b	none
g720	Gap	undetermined	n/a	wireframes§A.14	-	f1187a	none
g721	Gap	undetermined	n/a	wireframes§A.14	-	f1187b	none
g722	Gap	undetermined	n/a	wireframes§A.14	-	f1188	none
g723	Gap	undetermined	n/a	wireframes§A.1	-	f1189a	none
g724	Gap	undetermined	n/a	wireframes§A.1	-	f1189b	none
g725	Gap	undetermined	n/a	wireframes§A.15	-	f1190a	none
g726	Gap	undetermined	n/a	wireframes§A.15	-	f1190b	none
g727	Gap	undetermined	n/a	wireframes§A.15	-	f1191a	none
g728	Gap	undetermined	n/a	wireframes§A.15	-	f1191b	none
g729	Gap	undetermined	n/a	wireframes§A.15	-	f1192a	none
g730	Gap	undetermined	n/a	wireframes§A.15	-	f1192b	none
g731	Gap	undetermined	n/a	wireframes§A.16	-	f1193a	none
g732	Gap	undetermined	n/a	wireframes§A.16	-	f1193b	none
g733	Gap	undetermined	n/a	wireframes§A.18	-	f1194	none
g734	Gap	undetermined	n/a	wireframes§A.23	-	f1195	none
g735	Gap	undetermined	n/a	wireframes§A.1	-	f1196	none
g736	Gap	undetermined	n/a	wireframes§A.1	-	f1197	none
g737	Gap	undetermined	n/a	wireframes§A.2	-	f1198	none
g738	Gap	undetermined	n/a	wireframes§A.2	-	f1199	none
g739	Gap	undetermined	n/a	wireframes§A.2	-	f1200	none
g740	Gap	undetermined	n/a	wireframes§A.2	-	f1202	none
g741	Gap	undetermined	n/a	wireframes§A.4	-	f1204	none
g742	Gap	undetermined	n/a	wireframes§A.4	-	f1205	none
g743	Gap	undetermined	n/a	wireframes§A.4	-	f1206	none
g744	Gap	undetermined	n/a	wireframes§A.5	-	f1209	none
g745	Gap	undetermined	n/a	wireframes§A.5	-	f1210	none
g746	Gap	undetermined	n/a	wireframes§A.6	-	f1211	none
g747	Gap	undetermined	n/a	wireframes§A.7	-	f1212	none
g748	Gap	undetermined	n/a	wireframes§A.7	-	f1213	none
g749	Gap	undetermined	n/a	wireframes§A.8	-	f1214	none
g750	Gap	undetermined	n/a	wireframes§A.8	-	f1215	none
g751	Gap	undetermined	n/a	wireframes§A.10	-	f1217	none
g752	Gap	undetermined	n/a	wireframes§A.10	-	f1218	none
g753	Gap	undetermined	n/a	wireframes§A.11	-	f1219	none
g754	Gap	undetermined	n/a	wireframes§A.12	-	f1221	none
g755	Gap	undetermined	n/a	wireframes§A.13	-	f1223	none
g756	Gap	undetermined	n/a	wireframes§A.14	-	f1224	none
g757	Gap	undetermined	n/a	wireframes§A.14	-	f1225	none
g758	Gap	undetermined	n/a	wireframes§A.16	-	f1230	none
g759	Gap	undetermined	n/a	wireframes§A.16	-	f1231	none
g760	Gap	undetermined	n/a	wireframes§A.16	-	f1232	none
g761	Gap	undetermined	n/a	wireframes§A.17	-	f1233	none
g762	Gap	undetermined	n/a	wireframes§A.17	-	f1234	none
g763	Gap	undetermined	n/a	wireframes§A.17	-	f1235	none
g764	Gap	undetermined	n/a	wireframes§A.17	-	f1236	none
g765	Gap	undetermined	n/a	wireframes§A.17	-	f1237	none
g766	Gap	undetermined	n/a	wireframes§A.17	-	f1238	none
g767	Gap	undetermined	n/a	wireframes§A.19	-	f1244	none
g768	Gap	undetermined	n/a	wireframes§A.19	-	f1245	none
g769	Gap	undetermined	n/a	wireframes§A.19	-	f1247	none
g770	Gap	undetermined	n/a	wireframes§A.20	-	f1250	none
g771	Gap	undetermined	n/a	wireframes§A.21	-	f1256	none
g772	Gap	undetermined	n/a	wireframes§A.21	-	f1259	none
g773	Gap	undetermined	n/a	wireframes§A.21	-	f1260	none
g774	Gap	undetermined	n/a	wireframes§A.21	-	f1262	none
g775	Gap	undetermined	n/a	wireframes§A.21	-	f1264	none
g776	Gap	undetermined	n/a	wireframes§A.23	-	f1266	none
g777	Gap	undetermined	n/a	wireframes§A.23	-	f1267	none
c50	Contradiction	undetermined	derived	uxd§4	docs/deliverables/Disclosure ladder.md::What each rung means concretely[2]	f1009e	none
g778	Gap	undetermined	n/a	uxd§4	-	f1009g	none
g779	Gap	undetermined	n/a	research§33	-	f1291	none
